TableVersionId,ColumnName,DataType,CharacterMaxLength,DateNumPrecision,Isable,OrdinalPosition,Abbreviation
10,name,varchar,256,,YES,1,
10,superName,varchar,256,,YES,2,
10,aliases,varchar,256,,YES,3,
11,name,varchar,256,,YES,1,
11,superName,varchar,256,,YES,2,
11,authors,varchar,256,,YES,3,
12,name,varchar,256,,YES,1,
12,supername,varchar,256,,YES,2,
12,description,varchar,256,,YES,3,
12,species,nvarchar,-1,,YES,4,
12,ranking,nvarchar,-1,,YES,5,
12,aliases,nvarchar,-1,,YES,6,
12,authors,nvarchar,-1,,YES,7,
12,images,nvarchar,-1,,YES,8,
12,partners,nvarchar,-1,,YES,9,
12,powers,nvarchar,-1,,YES,10,
12,secretIdentities,nvarchar,-1,,YES,11,
12,teams,nvarchar,-1,,YES,12,
12,urls,nvarchar,-1,,YES,13,
13,name,varchar,256,,YES,1,
13,superName,varchar,256,,YES,2,
13,images,varchar,256,,YES,3,
14,name,varchar,256,,YES,1,
14,superName,varchar,256,,YES,2,
14,partners,varchar,256,,YES,3,
15,name,varchar,256,,YES,1,
15,superName,varchar,256,,YES,2,
15,powers,varchar,256,,YES,3,
16,name,varchar,256,,YES,1,
16,superName,varchar,256,,YES,2,
16,ranking,varchar,256,,YES,3,
17,name,varchar,256,,YES,1,
17,superName,varchar,256,,YES,2,
17,secretIdentities,varchar,256,,YES,3,
18,name,varchar,256,,YES,1,
18,superName,varchar,256,,YES,2,
18,species,varchar,256,,YES,3,
19,name,varchar,256,,YES,1,
19,superName,varchar,256,,YES,2,
19,teams,varchar,256,,YES,3,
20,name,varchar,256,,YES,1,
20,superName,varchar,256,,YES,2,
20,urls,varchar,256,,YES,3,
4,HUB_BEING_BKEY,varchar,4000,,NO,1,
4,URL,varchar,4000,,YES,2,
4,SOURCE_URL,varchar,4000,,YES,3,
22,SAT_BEING_KAGGLE_NLP_KEY,varchar,32,,YES,1,
22,HUB_BEING_BKEY,varchar,32,,YES,2,
22,URL,varchar,4000,,YES,3,
22,SOURCE_URL,varchar,4000,,YES,4,
22,NAME,varchar,4000,,YES,5,
22,REAL_NAME,varchar,4000,,YES,6,
22,FULL_NAME,varchar,4000,,YES,7,
22,OVERALL_SCORE,varchar,4000,,YES,8,
22,HISTORY_TEXT,varchar,4000,,YES,9,
22,POWERS_TEXT,varchar,4000,,YES,10,
22,INTELLIGENCE_SCORE,varchar,4000,,YES,11,
22,STRENGTH_SCORE,varchar,4000,,YES,12,
22,SPEED_SCORE,varchar,4000,,YES,13,
22,DURABILITY_SCORE,varchar,4000,,YES,14,
22,POWER_SCORE,varchar,4000,,YES,15,
22,COMBAT_SCORE,varchar,4000,,YES,16,
22,SUPERPOWERS,varchar,4000,,YES,17,
22,ALTER_EGOS,varchar,4000,,YES,18,
22,ALIASES,varchar,4000,,YES,19,
22,PLACE_OF_BIRTH,varchar,4000,,YES,20,
22,FIRST_APPEARANCE,varchar,4000,,YES,21,
22,CREATOR,varchar,4000,,YES,22,
22,ALIGNMENT,varchar,4000,,YES,23,
22,OCCUPATION,varchar,4000,,YES,24,
22,BASE,varchar,4000,,YES,25,
22,TEAMS,varchar,4000,,YES,26,
22,RELATIVES,varchar,4000,,YES,27,
22,GENDER,varchar,4000,,YES,28,
22,TYPE_RACE,varchar,4000,,YES,29,
22,HEIGHT,varchar,4000,,YES,30,
22,WEIGHT,varchar,4000,,YES,31,
22,EYE_COLOR,varchar,4000,,YES,32,
22,HAIR_COLOR,varchar,4000,,YES,33,
22,SKIN_COLOR,varchar,4000,,YES,34,
22,IMG,varchar,4000,,YES,35,
22,HAS_ELECTROKINESIS,varchar,4000,,YES,36,
22,HAS_ENERGY_CONSTRUCTS,varchar,4000,,YES,37,
22,HAS_MIND_CONTROL_RESISTANCE,varchar,4000,,YES,38,
22,HAS_MATTER_MANIPULATION,varchar,4000,,YES,39,
22,HAS_TELEPATHY_RESISTANCE,varchar,4000,,YES,40,
22,HAS_MIND_CONTROL,varchar,4000,,YES,41,
22,HAS_ENHANCED_HEARING,varchar,4000,,YES,42,
22,HAS_DIMENSIONAL_TRAVEL,varchar,4000,,YES,43,
22,HAS_ELEMENT_CONTROL,varchar,4000,,YES,44,
22,HAS_SIZE_CHANGING,varchar,4000,,YES,45,
22,HAS_FIRE_RESISTANCE,varchar,4000,,YES,46,
22,HAS_FIRE_CONTROL,varchar,4000,,YES,47,
