SourceColumnId,SourceSchema,SourceTable,SourceColumn,OrdinalPosition,TargetTableName,TargetTableColumn
116,stage1,marvel_hero_base,name,1,HUB_BEING,BEING_NAME
841,stage1,STG_kaggle_superhero_base,name,1,HUB_BEING,BEING_NAME
853,stage1,STG_superhero_raw_base,NAME,1,HUB_BEING,BEING_NAME
147,stage1,marvel_hero_teams,name,1,HUB_BEING,BEING_NAME
762,stage1,STG_superhero_raw_team_affiliation,name,1,HUB_BEING,BEING_NAME
882,stage1,STG_kaggle_superhero_teams,name,1,HUB_BEING,BEING_NAME
797,stage1,STG_kaggle_superhero_aliases,alias,2,HUB_BEING,BEING_NAME
769,stage1,STG_superhero_raw_aliases,aliases,2,HUB_BEING,BEING_NAME
116,stage1,marvel_hero_base,name,1,HUB_BEING,BEING_BKEY
841,stage1,STG_kaggle_superhero_base,name,1,HUB_BEING,BEING_BKEY
853,stage1,STG_superhero_raw_base,NAME,1,HUB_BEING,BEING_BKEY
147,stage1,marvel_hero_teams,name,1,HUB_BEING,BEING_BKEY
762,stage1,STG_superhero_raw_team_affiliation,name,1,HUB_BEING,BEING_BKEY
882,stage1,STG_kaggle_superhero_teams,name,1,HUB_BEING,BEING_BKEY
797,stage1,STG_kaggle_superhero_aliases,alias,2,HUB_BEING,BEING_BKEY
769,stage1,STG_superhero_raw_aliases,aliases,2,HUB_BEING,BEING_BKEY
149,stage1,marvel_hero_teams,teams,3,HUB_TEAM,TEAM_NAME
771,stage1,STG_kaggle_superhero_teams,team,2,HUB_TEAM,TEAM_NAME
817,stage1,STG_superhero_raw_team_affiliation,TEAM_AFFILIATION,2,HUB_TEAM,TEAM_NAME
149,stage1,marvel_hero_teams,teams,3,HUB_TEAM,TEAM_BKEY
771,stage1,STG_kaggle_superhero_teams,team,2,HUB_TEAM,TEAM_BKEY
817,stage1,STG_superhero_raw_team_affiliation,TEAM_AFFILIATION,2,HUB_TEAM,TEAM_BKEY
147,stage1,marvel_hero_teams,name,1,LINK_BEING_TEAM,BEING_BKEY
149,stage1,marvel_hero_teams,teams,3,LINK_BEING_TEAM,TEAM_BKEY
762,stage1,STG_superhero_raw_team_affiliation,name,1,LINK_BEING_TEAM,BEING_BKEY
817,stage1,STG_superhero_raw_team_affiliation,TEAM_AFFILIATION,2,LINK_BEING_TEAM,TEAM_BKEY
882,stage1,STG_kaggle_superhero_teams,name,1,LINK_BEING_TEAM,BEING_BKEY
771,stage1,STG_kaggle_superhero_teams,team,2,LINK_BEING_TEAM,TEAM_BKEY
761,stage1,STG_kaggle_superhero_base,real_name,2,SAT_KAGGLE_SUPERHERO,real_name
831,stage1,STG_kaggle_superhero_base,full_name,3,SAT_KAGGLE_SUPERHERO,full_name
851,stage1,STG_kaggle_superhero_base,overall_score,4,SAT_KAGGLE_SUPERHERO,overall_score
780,stage1,STG_kaggle_superhero_base,history_text,5,SAT_KAGGLE_SUPERHERO,history_text
794,stage1,STG_kaggle_superhero_base,powers_text,6,SAT_KAGGLE_SUPERHERO,powers_text
877,stage1,STG_kaggle_superhero_base,intelligence_score,7,SAT_KAGGLE_SUPERHERO,intelligence_score
747,stage1,STG_kaggle_superhero_base,strength_score,8,SAT_KAGGLE_SUPERHERO,strength_score
809,stage1,STG_kaggle_superhero_base,speed_score,9,SAT_KAGGLE_SUPERHERO,speed_score
854,stage1,STG_kaggle_superhero_base,durability_score,10,SAT_KAGGLE_SUPERHERO,durability_score
830,stage1,STG_kaggle_superhero_base,power_score,11,SAT_KAGGLE_SUPERHERO,power_score
802,stage1,STG_kaggle_superhero_base,combat_score,12,SAT_KAGGLE_SUPERHERO,combat_score
832,stage1,STG_kaggle_superhero_base,place_of_birth,13,SAT_KAGGLE_SUPERHERO,place_of_birth
849,stage1,STG_kaggle_superhero_base,first_appearance,14,SAT_KAGGLE_SUPERHERO,first_appearance
852,stage1,STG_kaggle_superhero_base,creator,15,SAT_KAGGLE_SUPERHERO,creator
863,stage1,STG_kaggle_superhero_base,alignment,16,SAT_KAGGLE_SUPERHERO,alignment
878,stage1,STG_kaggle_superhero_base,occupation,17,SAT_KAGGLE_SUPERHERO,occupation
858,stage1,STG_kaggle_superhero_base,base,18,SAT_KAGGLE_SUPERHERO,base
775,stage1,STG_kaggle_superhero_base,gender,19,SAT_KAGGLE_SUPERHERO,gender
792,stage1,STG_kaggle_superhero_base,type_race,20,SAT_KAGGLE_SUPERHERO,type_race
764,stage1,STG_kaggle_superhero_base,height,21,SAT_KAGGLE_SUPERHERO,height
773,stage1,STG_kaggle_superhero_base,weight,22,SAT_KAGGLE_SUPERHERO,weight
837,stage1,STG_kaggle_superhero_base,eye_color,23,SAT_KAGGLE_SUPERHERO,eye_color
786,stage1,STG_kaggle_superhero_base,hair_color,24,SAT_KAGGLE_SUPERHERO,hair_color
866,stage1,STG_kaggle_superhero_base,skin_color,25,SAT_KAGGLE_SUPERHERO,skin_color
811,stage1,STG_kaggle_superhero_base,img,26,SAT_KAGGLE_SUPERHERO,img
788,stage1,STG_kaggle_superhero_base,has_electrokinesis,27,SAT_KAGGLE_SUPERHERO,has_electrokinesis
807,stage1,STG_kaggle_superhero_base,has_energy_constructs,28,SAT_KAGGLE_SUPERHERO,has_energy_constructs
810,stage1,STG_kaggle_superhero_base,has_mind_control_resistance,29,SAT_KAGGLE_SUPERHERO,has_mind_control_resistance
754,stage1,STG_kaggle_superhero_base,has_matter_manipulation,30,SAT_KAGGLE_SUPERHERO,has_matter_manipulation
823,stage1,STG_kaggle_superhero_base,has_telepathy_resistance,31,SAT_KAGGLE_SUPERHERO,has_telepathy_resistance
870,stage1,STG_kaggle_superhero_base,has_mind_control,32,SAT_KAGGLE_SUPERHERO,has_mind_control
855,stage1,STG_kaggle_superhero_base,has_enhanced_hearing,33,SAT_KAGGLE_SUPERHERO,has_enhanced_hearing
