TableSchema,TableName,ColumnName,OrdinalPosition,DataType,IsNullable,DateNumPrecision,CharacterMaxLength,Abbreviation
stage1,kaggle_superhero,name,1,varchar,YES,,4000,
stage1,kaggle_superhero,real_name,2,varchar,YES,,4000,
stage1,kaggle_superhero,full_name,3,varchar,YES,,4000,
stage1,kaggle_superhero,overall_score,4,varchar,YES,,4000,
stage1,kaggle_superhero,history_text,5,varchar,YES,,-1,
stage1,kaggle_superhero,powers_text,6,varchar,YES,,-1,
stage1,kaggle_superhero,intelligence_score,7,int,YES,10,,
stage1,kaggle_superhero,strength_score,8,int,YES,10,,
stage1,kaggle_superhero,speed_score,9,int,YES,10,,
stage1,kaggle_superhero,durability_score,10,int,YES,10,,
stage1,kaggle_superhero,power_score,11,int,YES,10,,
stage1,kaggle_superhero,combat_score,12,int,YES,10,,
stage1,kaggle_superhero,superpowers,13,nvarchar,YES,,-1,
stage1,kaggle_superhero,alter_egos,14,nvarchar,YES,,-1,
stage1,kaggle_superhero,aliases,15,nvarchar,YES,,-1,
stage1,kaggle_superhero,place_of_birth,16,varchar,YES,,4000,
stage1,kaggle_superhero,first_appearance,17,varchar,YES,,4000,
stage1,kaggle_superhero,creator,18,varchar,YES,,4000,
stage1,kaggle_superhero,alignment,19,varchar,YES,,4000,
stage1,kaggle_superhero,occupation,20,varchar,YES,,4000,
stage1,kaggle_superhero,base,21,varchar,YES,,4000,
stage1,kaggle_superhero,teams,22,nvarchar,YES,,-1,
stage1,kaggle_superhero,relatives,23,nvarchar,YES,,-1,
stage1,kaggle_superhero,gender,24,varchar,YES,,4000,
stage1,kaggle_superhero,type_race,25,varchar,YES,,4000,
stage1,kaggle_superhero,height,26,varchar,YES,,4000,
stage1,kaggle_superhero,weight,27,varchar,YES,,4000,
stage1,kaggle_superhero,eye_color,28,varchar,YES,,4000,
stage1,kaggle_superhero,hair_color,29,varchar,YES,,4000,
stage1,kaggle_superhero,skin_color,30,varchar,YES,,4000,
stage1,kaggle_superhero,img,31,varchar,YES,,4000,
stage1,kaggle_superhero,has_electrokinesis,32,float,YES,53,,
stage1,kaggle_superhero,has_energy_constructs,33,float,YES,53,,
stage1,kaggle_superhero,has_mind_control_resistance,34,float,YES,53,,
stage1,kaggle_superhero,has_matter_manipulation,35,float,YES,53,,
stage1,kaggle_superhero,has_telepathy_resistance,36,float,YES,53,,
stage1,kaggle_superhero,has_mind_control,37,float,YES,53,,
stage1,kaggle_superhero,has_enhanced_hearing,38,float,YES,53,,
stage1,kaggle_superhero,has_dimensional_travel,39,float,YES,53,,
stage1,kaggle_superhero,has_element_control,40,float,YES,53,,
stage1,kaggle_superhero,has_size_changing,41,float,YES,53,,
stage1,kaggle_superhero,has_fire_resistance,42,float,YES,53,,
stage1,kaggle_superhero,has_fire_control,43,float,YES,53,,
stage1,kaggle_superhero,has_dexterity,44,float,YES,53,,
stage1,kaggle_superhero,has_reality_warping,45,float,YES,53,,
stage1,kaggle_superhero,has_illusions,46,float,YES,53,,
stage1,kaggle_superhero,has_energy_beams,47,float,YES,53,,
stage1,kaggle_superhero,has_peak_human_condition,48,float,YES,53,,
stage1,kaggle_superhero,has_shapeshifting,49,float,YES,53,,
stage1,kaggle_superhero,has_heat_resistance,50,float,YES,53,,
stage1,kaggle_superhero,has_jump,51,float,YES,53,,
stage1,kaggle_superhero,has_self-sustenance,52,float,YES,53,,
stage1,kaggle_superhero,has_energy_absorption,53,float,YES,53,,
stage1,kaggle_superhero,has_cold_resistance,54,float,YES,53,,
stage1,kaggle_superhero,has_magic,55,float,YES,53,,
stage1,kaggle_superhero,has_telekinesis,56,float,YES,53,,
stage1,kaggle_superhero,has_toxin_and_disease_resistance,57,float,YES,53,,
stage1,kaggle_superhero,has_telepathy,58,float,YES,53,,
stage1,kaggle_superhero,has_regeneration,59,float,YES,53,,
stage1,kaggle_superhero,has_immortality,60,float,YES,53,,
stage1,kaggle_superhero,has_teleportation,61,float,YES,53,,
stage1,kaggle_superhero,has_force_fields,62,float,YES,53,,
stage1,kaggle_superhero,has_energy_manipulation,63,float,YES,53,,
stage1,kaggle_superhero,has_endurance,64,float,YES,53,,
stage1,kaggle_superhero,has_longevity,65,float,YES,53,,
stage1,kaggle_superhero,has_weapon-based_powers,66,float,YES,53,,
stage1,kaggle_superhero,has_energy_blasts,67,float,YES,53,,
stage1,kaggle_superhero,has_enhanced_senses,68,float,YES,53,,
stage1,kaggle_superhero,has_invulnerability,69,float,YES,53,,
stage1,kaggle_superhero,has_stealth,70,float,YES,53,,
stage1,kaggle_superhero,has_marksmanship,71,float,YES,53,,
stage1,kaggle_superhero,has_flight,72,float,YES,53,,
stage1,kaggle_superhero,has_accelerated_healing,73,float,YES,53,,
stage1,kaggle_superhero,has_weapons_master,74,float,YES,53,,
stage1,kaggle_superhero,has_intelligence,75,float,YES,53,,
stage1,kaggle_superhero,has_reflexes,76,float,YES,53,,
stage1,kaggle_superhero,has_super_speed,77,float,YES,53,,
stage1,kaggle_superhero,has_durability,78,float,YES,53,,
stage1,kaggle_superhero,has_stamina,79,float,YES,53,,
stage1,kaggle_superhero,has_agility,80,float,YES,53,,
stage1,kaggle_superhero,has_super_strength,81,float,YES,53,,
stage1,marvel_hero_raw,doc,1,nvarchar,YES,,-1,
stage1,superhero_raw,NAME,1,varchar,YES,,1000,
stage1,superhero_raw,URL,2,varchar,YES,,4000,
stage1,superhero_raw,INTELLIGENCE,3,varchar,YES,,100,
stage1,superhero_raw,STRENGTH,4,varchar,YES,,100,
stage1,superhero_raw,SPEED,5,varchar,YES,,100,
stage1,superhero_raw,DURABILITY,6,varchar,YES,,100,
stage1,superhero_raw,POWER,7,varchar,YES,,100,
stage1,superhero_raw,COMBAT,8,varchar,YES,,100,
stage1,superhero_raw,FULL_NAME,9,varchar,YES,,100,
stage1,superhero_raw,ALTER_EGOS,10,nvarchar,YES,,-1,
stage1,superhero_raw,ALIASES,11,nvarchar,YES,,-1,
stage1,superhero_raw,PLACE_OF_BIRTH,12,varchar,YES,,100,
stage1,superhero_raw,FIRST_APPEARANCE,13,varchar,YES,,4000,
stage1,superhero_raw,CREATOR,14,varchar,YES,,100,
stage1,superhero_raw,ALIGNMENT,15,varchar,YES,,100,
stage1,superhero_raw,GENDER,16,varchar,YES,,20,
stage1,superhero_raw,RACE,17,varchar,YES,,20,
stage1,superhero_raw,HEIGHT,18,varchar,YES,,20,
stage1,superhero_raw,WEIGHT,19,varchar,YES,,20,
stage1,superhero_raw,EYE_COLOR,20,varchar,YES,,10,
stage1,superhero_raw,HAIR_COLOR,21,varchar,YES,,10,
stage1,superhero_raw,OCCUPATION,22,varchar,YES,,100,
stage1,superhero_raw,BASE,23,varchar,YES,,100,
stage1,superhero_raw,TEAM_AFFILIATION,24,varchar,YES,,4000,
stage1,superhero_raw,RELATIVES,25,varchar,YES,,4000,
stage1,superhero_raw,SKIN_COLOR,26,varchar,YES,,10,
stage1,superhero_raw,TOTAL_POWER,27,varchar,YES,,100,
stage1,vw_marvel_hero_aliases,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_aliases,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_aliases,aliases,3,varchar,YES,,256,
stage1,vw_marvel_hero_authors,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_authors,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_authors,authors,3,varchar,YES,,256,
stage1,vw_marvel_hero_base,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_base,supername,2,varchar,YES,,256,
stage1,vw_marvel_hero_base,description,3,varchar,YES,,256,
stage1,vw_marvel_hero_base,species,4,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,ranking,5,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,aliases,6,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,authors,7,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,images,8,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,partners,9,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,powers,10,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,secretIdentities,11,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,teams,12,nvarchar,YES,,-1,
stage1,vw_marvel_hero_base,urls,13,nvarchar,YES,,-1,
stage1,vw_marvel_hero_images,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_images,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_images,images,3,varchar,YES,,256,
stage1,vw_marvel_hero_partners,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_partners,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_partners,partners,3,varchar,YES,,256,
stage1,vw_marvel_hero_powers,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_powers,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_powers,powers,3,varchar,YES,,256,
stage1,vw_marvel_hero_ranking,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_ranking,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_ranking,ranking,3,varchar,YES,,256,
stage1,vw_marvel_hero_secretIdentities,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_secretIdentities,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_secretIdentities,secretIdentities,3,varchar,YES,,256,
stage1,vw_marvel_hero_species,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_species,superName,2,varchar,YES,,256,
stage1,vw_marvel_hero_species,species,3,varchar,YES,,256,
stage1,vw_marvel_hero_teams,name,1,varchar,YES,,256,
stage1,vw_marvel_hero_teams,superName,2,varchar,YES,,256,
